"action","boro","building","camis","critical_flag","cuisine_description","dba","inspection_date","inspection_type","phone","record_date","score","street","violation_code","violation_description","zipcode","grade","grade_date"
"Violations were cited in the following area(s).","MANHATTAN","425",41529070,"Not Critical","Italian","SPINELLI'S PIZZA/GYRO II",2016-10-05,"Cycle Inspection / Initial Inspection","2122390646",2017-10-19 06:00:49,40,"7 AVENUE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","37",41200526,"Critical","Korean","SHILLA KOREAN BARBECUE HOUSE",2015-07-17,"Cycle Inspection / Initial Inspection","2129671880",2017-10-19 06:00:49,25,"WEST   32 STREET","04M","Live roaches present in facility's food and/or non-food areas.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","15",41076270,"Not Critical","CafÃ©/Coffee/Tea","CITY PERK",2017-03-06,"Administrative Miscellaneous / Initial Inspection","6464572354",2017-10-19 06:00:49,NA,"PENN PLAZA","20F","Current letter grade card not posted.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","35",41267359,"Critical","Korean","MADANGSUI",2015-01-29,"Cycle Inspection / Initial Inspection","2125649333",2017-10-19 06:00:49,23,"WEST   35 STREET","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","1271",50013048,"Critical","American","THE HAROLD",2014-11-13,"Pre-permit (Operational) / Re-inspection","2126861888",2017-10-19 06:00:49,9,"BROADWAY","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"A",2014-11-13
"Violations were cited in the following area(s).","MANHATTAN","155",50047571,"Not Critical","Donuts","DUNKIN DONUTS",2016-11-28,"Cycle Inspection / Initial Inspection","2129672747",2017-10-19 06:00:49,7,"W 35TH ST","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","1164",50001790,"Critical","Salads","SWEETGREEN",2015-03-12,"Cycle Inspection / Compliance Inspection","6464498884",2017-10-19 06:00:49,13,"BROADWAY","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","37",41200526,"Not Critical","Korean","SHILLA KOREAN BARBECUE HOUSE",2016-01-22,"Cycle Inspection / Initial Inspection","2129671880",2017-10-19 06:00:49,9,"WEST   32 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2016-01-22
"Violations were cited in the following area(s).","MANHATTAN","299",50058559,"Not Critical","American","PRET A MANGER",2017-08-28,"Calorie Posting / Initial Inspection","6467280505",2017-10-19 06:00:49,NA,"7TH AVE","16D","Posted caloric content on the menu(s), menu board(s), food tag(s) or stanchions adjacent to menu boards for drive-through windows deficient, in that the size and/or font for posted calories is not as prominent as the name of the menu item or its price.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","53",40390696,"Not Critical","Korean","HAN BAT RESTAURANT",2016-05-10,"Cycle Inspection / Re-inspection","2126295588",2017-10-19 06:00:49,6,"WEST   35 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2016-05-10
